NberID|Text
w15481|Asset price bubbles, ie, asset prices that exceed assets' fundamental values, have always been a subject of interest to economists. However, clear identification of a price bubble is challenging due to the difficulty of measuring an asset's fundamental value. There is an open debate about whether each historical episode constitutes a bubble. For example, Garber (2000) proposes market fundamental explanations for three famous bubbles, the Dutch tulip mania (1634-37), the Mississippi bubble (1719-20) and the closely connected South Sea bubble (1720). Pastor and Veronesi (2006) challenge the existence of an Internet bubble in the late 1990s. The difficulty of measuring asset fundamentals makes it even more challenging to analyze economic mechanisms that drive up price bubbles. Instead, the academic literature heavily relies on laboratory settings to study asset bubbles. In this paper, we use a unique data sample from China's warrants market to study asset price bubbles. In 2005-08, several Chinese companies issued put warrants with long maturities ranging from 9 months to 2 years. These warrants give their holders the right to sell the issuing companies' stocks at predetermined strike prices during a pre-specified exercise period. The dramatic stock market runup in China between 2005 and 2007 pushed most of these put warrants so deep out of the money that they were certain to expire worthless. However, they had become targets of frenzied speculation, which generated a spectacular bubble as dramatic as, if not more than, any historical bubble episode. For each warrant, billions of Yuan traded with an average daily turnover rate close to 300%, and at substantially inflated prices. Several features make these warrants particularly appealing for analyzing bubbles: First, we can reliably measure the warrants' fundamental values to be zero using the underlying stock prices; second, the publicly observable stock prices also make the zero warrant fundamentals observable to all market participants; and third, these warrants have a predetermined finite maturity. These features so far are available only in laboratory environments.
w3479|This paper dcscribcs a setup within which dynamic stochastic competitive models can quickly and inexpensively be formulated and analyzed. This kind of model is used in macroeconomics and finance to build theories about how variables like consumption, investment, asset prices, and interest rates covary over time, and how their evolution is to be interpreted in terms of parameters governing preferences, technology, and information flows. The idea here is to rig a class of economic environments with descriptions of preferences, technologies, and information structures that occur in the form of a set of matrices. By naming a particular list of matrices, we completely specify an economic environment. Given these matrices, we supply a set of easy to use computer programs that compute and characterize the competitive equilibrium prices and allocation.1 The class of models is specified so that an equilibrium can be represented as a state space system in which the state vector evolves according to a first order linear vector stochastic difference equation. This feature emerges because the models assume quadratic preferences and linear technologies and information structures. The linearity of the equilibria enables us to characterize them in terms of standard objects of time series econometrics. Thus, given a representation of our equilibrium in state space form, it is straightforward to deduce both impulse response functions with respect to the innovations impinging on agents' information sets and vector autoregressive or Wold representations for any subset of variables linearly related to the state vector.
w7927|Traditionally, each country had its own currency, and only one currency circulated in each country. Monetary unions were rare, and, therefore, the surge in the number of countries in the post-war period generated a large increase in the number of currencies circulating in the world. In 1947 there were 76 countries in the world, today there are 193, and, with few exceptions, each country has its own currency.1 Unless one believes that a country is. by definition, an "optimal currency area," either there were too few currencies in 1947 or there are too many today. In fact, the increasing integration of international markets implies that the optimal number of currencies would tend to decrease, rather than almost triple as it has. Only recently, however, and perhaps as a result of this proliferation of currencies, the sanctity of "one country one money" has come into question.
w3059|Many studies have attempted to test Heckscher-Ohlin (H-0) theory, or more generally, to infer a country's abundant resources, by regressing industry trade balances on factor input requirements in a single year. Inferences about a country's abundance in a factor are then based on the sign of its estimated coefficient. However, Anderson (1981), Learner and Bowen (1981) and Aw (1983) have demonstrated that unless each factor is specific to each industry, such inferences are inappropriate in a model with more than two factors.
w4211|This paper is motivated by three stylized facts. The first fact is that inventory movements play a dominant role in business cycle fluctuations. For example, Blinder and Maccini (1991) document that, in postwar US recessions, declines in inventory investment account for an average of 87% of the total peak-to-trough movement in GNP. The second fact is that recessions usually follow a period of tight credit. Eckstein and Sinai (1986) argue that each of the six recessions between 1957 and 1982 was preceded by a "credit crunch"--a time of restrictive monetary policy and rising interest rates. At first glance, it would appear that these two facts can be tied together with a simple and obvious story.
w2709|We present a model of industrialization caused by an increase in agricultural productivity or by an export boom, that raise incomes and therefore demand for domestic manufactures. As domestic markets become larger, increasing returns production technologies that could not break even in smaller markets come into profitable use and industry expands. The key role of productive agriculture or exports for generating domestic demand for manufactures has been emphasized in earlier work of Rosenstein-Rodan [1943], Nurkse [1953], Lewis [1953, 1954], Ranis and Fei [1961], and especially Fleming [1953], Empirically, Ohkawa and Rosovsky fiI960] document the great increases in agricultural productivity in turn of the century Japan, and Johnston and Mellor [1961] note the importance of the demand from farmers for growth of industry during that period.
w9721|In many businesses it is customary to advertise a base price for a product or service and to try to induce customers to buy additional “add-ons” at high prices at the point of sale. The quoted price for a hotel room may not include phone calls, in-room movies, minibar items, dry cleaning, etc. Electronics stores offer extended warranties and accessories. Car rental agencies offer insurance and prepaid gasoline. New car dealers hope to service cars they sell. Add-ons need not be a separate goods. For example, a high quality mattress can be thought of as a bundle containing a low quality mattress and an add-on of additional quality. Once one starts to think broadly about add-on pricing, it can be challenge to think of a business where the practice is absent. Although many firms earn a substantial portion of their revenue from add-ons, it is not clear that we should care.1 The classic Chicago school argument would be that profits earned on add-ons will be competed away in the form of lower prices for the base good. Two formalizations of this argument can be found in the literature. Lal and Matutes (1994) develops a model of loss-leader pricing in which the Chicago view is true to an extreme – every consumer purchases the same bundle at the same price regardless of whether the prices of add-ons are or are not advertised. Verboven (1999) analyzes a model of add-on pricing with different assumptions about preferences in which add-on pricing again has no effect on profits. This paper, in contrast, argues that add-on pricing is important.
w10038|This paper constructs a simple model linking innovation rates to current and future market size, and provides evidence from the pharmaceutical industry to support this hypothesis. Our empirical work, which exploits changes in the market size for various drug categories driven by US demographic trends, finds economically significant and relatively robust effects of market size on entry of new drugs. Although many historical accounts of important innovations focus on the autonomous progress of science and on major breakthroughs that take place as scientists build on each other’s work, economists typically emphasize profit incentives and the size of the target market.
w7269|This paper characterizes the dynamic effects of shocks in government spending and taxes on economic activity in the United States in the postwar period. It does so by using a structural VAR approach that relies on institutional information about the tax and transfer systems and the timing of tax collections to identify the automatic response of taxes and spending to activity, and, by implication, to infer fiscal shocks. One would have thought that such an exercise would have been carried out already. But, as fax as we can tell, it has not. Of course, large-scale econometric models provide estimates of dynamic fiscal multipliers.
w3668|This paper analyzes a simple model of endogenous growth with distributive conflicts between labor and capital. The rate of economic growth is determined by policy decisions which are shaped by the struggle for distributive shares: we endogenize government policy in a model of endogenous growth. We focus on the political conflict between individuals who derive their income from capital and those who derive their income from labor. The government has two decisions to make: (i) the rate at which capital is to be taxed; and (ii) the distribution of government expenditures between productive public investments and lump-sum transfers to workers. Holding the composition of public expenditure constant, the economy's growth rate is increasing in taxes on capital for "small" tax rates, and decreasing in taxes for "large" rates. Thus, a strictly positive tax rate on capital maximizes the economy's growth rate. On the other hand, holding the tax rate constant, growth is reduced by an increase in redistribution through transfers to workers, who supply labor inelastically.
w2068|As is now well understood, the requirement that policies be time consistent leads to outcomes that are suboptimal relative to those that precommitment would sustain. An example considered by Fischer (1980) is capital taxation in a two-period model. In that model a second period capital levy is first best from the perspective of period two, but third best from the perspective of period one. Since there is nothing in Fischer's model to enforce a government commitment against second period capital taxation, the ex post desire to engage in first best taxation drives the ex ante economy from a second to a third best outcome. Researchers have suggested a variety of ways to enforce optimal commitment policies. Kydland and Prescott (1977) argue for rules rather than discretion. Barro and Gordon (1983) and a number of subsequent writers (see Rogoff (1986)) introduce government reputation as a mechanism to enforce commitment.
w3844|Textbook aggregate demand models suggest simple relationships between the government budget and economic activity, a cut in the government deficit, for example, depressing consumption and output. Though such models heavily influence the design of stabilization policies, their microfoundations are unclear and their sharp predictions are not always consistent with reality. In many countries, large cuts in government spending carried out as part of stabilization programs have led to expansions rather than contractions in economic activity. The absence of simple relationships between economic variables is often explained theoretically by the importance of expectations of future economic variables, including variables reflecting government policy. The idea that expectations of future policy changes are crucial in understanding seemingly counterintuitive macroeconomic dynamics has been explored before. It formed the basis of the now classic Sargent and Wallace paper on "Unpleasant Monetarist Arithmetic" (1981). More recently, Drazen and Helpman considered the effects of future anticipated fiscal changes meant to balance the budget on current inflation in a closed economy (1990) and the current account in an open economy (1987).
w5163|The spatial concentration of wealth in America is striking. The average income of the richest census tracts is over 25 times larger than the average income of the poorest census tracts. In the city of Detroit, 40 percent of the population is without a high school degree, 47 percent is not in the labor force, median household income is $ 21,000 and 59 people per 100,000 are murdered annually. In the city of Boston, less than 20 percent of the population is without a high school degree, two-thirds of the population is in the labor force, and the median income is $ 32,000. The murder rate is one-third as high. The concentration of poverty seems to cry out for government policy responses.
w3942|What are the coats of financial distress? There are as many answers as models. Ln truth, no one knows, though these costs are presumed to be a central component of capital structure decisions. Indeed, we do not even know much about what companies do when they get into financial trouble. This paper begins to fill this gap - first by documenting how companies cope with financial distress, and second by analyzing what implications these findings have for understanding the costs of financial distress. Our study is based on a sample of 102 companies that issued high-yield "junk" bonds, during the 1970s and 1980s and subsequently got into financial trouble. These companies deal with distress in one or more ways. They: (i) restructure their bank and private debt through direct negotiations; (ii) restructure their public debt with an exchange offer of cash and securities; (iii) get an infusion of new capital; (iv) sell major assets or merge; (v) reduce capital expenditures; and (vi) file for Chapter 11 reorganization.
w11551|Is the world’s capital stock efficiently allocated across countries? If so, then all countries have roughly the same aggregate marginal product of capital (M P K). If not, the M P K will vary substantially from country to country. In the latter case, the world foregoes an opportunity to increase global GDP by reallocating capital from low to high M P K countries. The policy implications are far reaching. Given the enormous cross-country differences in observed capital-labor ratios (they vary by a factor of 100 in the data used in this paper) it may seem obvious that the M P K must vary dramatically as well.
w8720|In Texas, as in most of the United States, the sale of liquor is heavily regulated. Moreover, regulations vary across different localities within the state. Some are "dry", completing prohibiting the retail sale of alcoholic beverages. Others permit the sale of only certain types of liquor or require that liquor be consumed "off premise". What is particularly interesting about Texas is that alcohol regulations at the local level are determined directly by the citizens.1 A citizen wishing to change regulations in his community can get the change voted on in a referendum. Such referenda are commonplace, with over 500 elections between 1976 and 1996. These liquor referenda appear a promising vehicle for understanding voter turnout. First, turnout varies widely. In some communities over 75% of the voting age population show up to vote, while in others turnout is less than 10%. Second, since there is a limited set of regulations that are actually proposed, the issues decided by the referenda are basically the same across jurisdictions.
w13145|Corruption is widely thought to be a major factor retarding growth in the developing world. As a result, there is substantial interest from both developing country governments and international institutions in understanding the forces that drive corrupt behavior. Most theoretical and empirical work on corruption focuses on the individual corrupt transaction  potentially corrupt officials weigh the benefits from corruption against the expected punishments if they are caught, and choose accordingly. However, the level of corruption may also be influenced by market forces. In this view, first articulated by Shleifer and Vishny (1993), corrupt officials behave like profit maximizing firms, and the level of corruption is determined by the structure of the 'market' for bribes, the elasticity of demand for the officials' services, and the degree to which corrupt officials can coordinate with one another in setting prices. This paper takes the market forces view of corruption seriously, and examines the degree to which standard pricing theories from industrial organization are consistent with actual patterns of bribes and extortion payments. We study these questions in the context of bribes paid by truck drivers on their trips to and from the Indonesian province of Aceh. Truck drivers in Aceh make a variety of illegal payments, including payments to police and military officers to avoid harassment at checkpoints along the roads, payments at weigh stations to avoid fines for driving overweight, and protection payments to criminal organizations and the police. To investigate these payments, we designed a study in which enumerators accompanied truck drivers along their regular routes to and from Aceh. From November 2005 to July 2006, enumerators accompanied drivers on a total of 304 trips to and from Aceh, and directly observed more than 6,000 illegal payments along the routes. To the best of our knowledge, this represents fi 1 The only other dataset consisting of observed bribe payments, as opposed to reported bribe payments, is McMillan and Zoido (2004), which consists of videotapes the bribe-giver (Montesinos, the head of the Peruvian intelligence under Fujimori) took to help him maintain leverage over bribe recipients later on.
w5372|The historical debate over immigration policy in the United States has focused primarily on two questions: How well do immigrants adjust to their new surroundings? And do immigrants "take jobs away" from native workers? The growth of the welfare state in the past thirty years, as well as the perception that immigrant participation in welfare programs is on the rise, has added an explosive new question to this debate: Do immigrants pay their way in the welfare state? In fact, the concern over the impact of immigration on the costs of welfare programs has led Congress to seriously consider the possibility of denying all means-tested assistance to all non-citizens, regardless of whether they entered the country legally. The available empirical evidence suggests that an increasing number of immigrants are beneficiaries of welfare programs fiBlau 1984; Jensen 1988; Boijas and Trejo 1991; and Boijas 1995], For the most part, this inference is drawn from the analysis of decennial Census data.
w19830|Arguably the most important fact of the last century is the steady rise in living standards throughout much of the world. Will this rise continue? We discuss what modern growth theory has to say about economic growth in the United States over the next 25 to 50 years. 2. The Facts Figure 1 shows GDP per person for the United States between 1870 and the present. The stability of the growth rate is remarkable and surprising, with GDP per person lying close to a linear time trend with a slope of just under 2 percent per year.
w8030|Given that consumers do not replace durables every day, it has become common to assume that purchases of durables are subject to fixed costs of adjustment. Among the fixed costs most often cited are "lemons costs."1 These costs arise because adverse selection in the secondary market reduces the price of a durable, and thereby discourages trade (Akerlof [1970]). The size of this cost depends on the distribution of quality in the secondary market, and this distribution depends on the sales decisions of consumers. In spite of the obvious endogeneity of such costs, models of durables typically assume that the fixed costs of adjustment are exogenous. The model that we present is standard except that the adjustment cost arises endogenously from adverse selection in the secondary market. In the model, consumers hold cars of various qualities. Only the owner of a car knows its true quality. There is also a parameter that characterizes the quality of the match between the car and its owner. A good match is more desirable than a poor match. Consumers may sell cars either because the quality is low or because the car is not a good match for their current needs.
w7105|In valuing financial securities in an arbitrage-free environment, one inevitably faces a trade-off between the analytical and computational tractability of pricing and estimation, and the complexity of the probability model for the state vector X. In the light of this trade-off, academics and practitioners alike have found it convenient to impose sufficient structure on the conditional distribution of X to give closed- or nearly closed-form expressions for securities prices.
w3505|Government has no single policy toward housing. Rather, it affects the equilibrium amounts of owner-occupied and rental housing through an amalgam of policies such as: direct subsidies for low-income housing, deductions allowed under the personal income tax, the progressive personal rate structure, the relative taxation of other goods and assets, and the effect of monetary policy on interest rates. Of particular interest have been the effects of tax rules on the residential capital stock and tenure choice, that is, whether to own or rent. Personal tax rules favor owner housing by exempting the imputed net rental income. Tax rules also have favored rental housing to some extent through accelerated depreciation allowances. An important indirect benefit to housing capital is the additional corporate tax on other uses of capital.
w15563|While it is intuitive that the volatilities and comovements of stocks and bonds are strongly related to the state of economic fundamentals, it is surprising that the .nancial literature has been unable to empirically demonstrate such a strong link between them, as evidenced in the following quote from a recent paper by Nobel prize laureate Robert Engle. 'After more than 25 years of research on volatility, the central unsolved problem is the relation between the state of the economy and aggregate .nancial volatility. The number of models that have been developed to predict volatility based on time series information is astronomical, but the models that incorporate economic variables are hard to .
w4490|A fundamental question in macroeconomics is how to set fiscal policy over the business cycle. Standard Keynesian models imply that fiscal policy should be countercyclical. For example, this means cutting taxes during recessions. The tax smoothing models of Barro (1979) and others imply that welfare-maximizing tax rates change only when there are unanticipated shocks that affect the government's budget constraint. Thus when there is an unanticipated decline in output, and hence tax revenues, welfare-maximizing tax rates are raised by enough to meet the government's expected present value budget constraint. In this paper we use standard neoclassical theory to answer this question. In particular, we use a quantitative version of the standard neoclassical growth model with distorting taxes.
w3220|Western European countries discussing prospects for monetary integration share a fundamental concern about the inevitable constraints on national autonomy, the problem arises, of course, because countries generally differ in their economic policy needs, while a common currency requires the deferral of all monetary policy decisions to an international Central Bank (Casella and Feinstein 1989). the debate has usually focussed on the possibility (or impossibility) of maintaining the necessary independence through fiscal policy (see for example Eichengreen 1989 and Cohen and Vyplosz 1988), but it has Ignored the study of the institutional features of this international monetary agency.
w16588|Although there is no general agreement on the primary causes of the US Great Depression--- the sharp economic contraction in the early 1930s and the subsequent slow recovery---many do agree that fiscal policy played only a minor role. This conventional view is based on both empirical and theoretical analyses of the period. Although federal government spending notably increased during the 1930s, the data show that as a share of gross domestic product (GDP), it did not increase enough to have had a large impact (Brown, 1956). At the same time, income tax rates increased sharply, but taxes were filed by few households and paid by even fewer (US Department of the Treasury, 1916-2010).
w3635|In this paper we show that countries and industries with large seasonal cycles also have large business cycles. We then discuss the elements required in a model to generate our finding and explain why the finding suggests that the economic mechanism propagating seasonal fluctuations is closely linked to that propagating business cycle fluctuations. We also propose a particular model that incorporates this property and that is consistent with our empirical result. The model is preliminary but it illustrates our main point: the robust finding that the amounts of seasonal and business cycle variation are positively correlated across sectors is likely to require an explanation in which the two kinds of fluctuations are intimately related.
w4222|One of the oldest questions in economics is that of whether the market for labor can be represented satisfactorily by a standard competitive model. The importance of this question, which has implications for macroeconomics as well as labor economics, has stimulated much earlier research and more than a little controversy. The purpose of this paper is to blend microeconomic data on wages with industrial data on profits to produce a new test of the competitive market hypothesis. The results of the study suggest that, contrary to the implications of competitive theory, US pay determination exhibits elements of rent-sharing. In a prominent early attack on traditional analysis, Sumner Slichter (1950) argued that a competitive model fails to explain the empirical evidence that apparently homogenous types of employee earn significantly different amounts in different industries. His data, drawn from the US manufacturing sector, showed that wages appeared to be positively correlated with various measures of the employer's 'ability to pay'. Slichier concluded that this correlation provides prima facie evidence against a conventional competitive model.
w11888|Why do unemployed workers and job vacancies coexist? What determines the rate at which unemployed workers find jobs? This paper advances the proposition that at any point in time, the skills and geographical location of unemployed workers are poorly matched with the skill requirements and location of job openings. The rate at which unemployed workers find jobs depends on the rate at which they retrain or move to locations with available jobs, the rate at which jobs open in locations with available workers, and the rate at which employed workers vacate jobs in locations with suitable unemployed workers.
w10679|In a liquidity trap, the nominal interest rate is zero, but the real interest rate is higher than optimal, due to private-sector expectations of low infliation or even defliation. It is well known since Krugman [12], that the optimal way to escape from a liquidity trap is to generate expectations of a higher future price level and thereby expectations of higher future infliation. This will lower the real interest rate and stimulate the economy out of the liquidity trap, even though the nominal interest rate is zero.
w3241|Why do some countries grow quickly while others do not? Why is it that some countries seem endlessly mired in poverty while other similar ones suddenly take off in a period of exponential development? Is growth affected by the taxation and foreign trade policies of governments? Can a government, through appropriate choice of policy "trigger" a spurt of growth? To what extent can we trace the success of certain countries in recent years to explicit policies on the part of their governments? These are important questions that have received considerable attention from scholars interested in growth and development. Specifically, there is a wealth of evidence describing episodes of growth and stagnation as well as the government policies in effect in each country.
w3338|0 Economists have long suspected that there is a link between national policies and long term rates of economic growth. For example, Schultz [1981J suggests that many public policies contain disincentives for growth because they reduce the rewards to accumulation of a comprehensive concept of capital encompassing human as sell as physical capital. In this paper, we show that a basic Schultzian model has the property that modest variations in tax rates are associated with large variations in long run growth rates. Our model follows leads provided by Uzawa [1965], Lucas [1988b], and Rebelo [1987]. In our analysis, changes in public policy can potentially explain periods of secular stagnation or high economic growth. Public policy is particularly powerful in affecting small open economies with freely mobile capital.
w12629|Recently, a number of studies have departed from the mainstream view that in order to explain economic fluctuations in emerging markets theoretical models must take explicitly into account the role of policy and market failures. This line of research argues that business cycles in emerging countries can be explained well using a neoclassical model featuring no distortions and driven solely by shocks to total factor productivity. Finn Kydland and Carlos Zarazaga (2002), for instance, adopt a strong view by arguing that the RBC model can replicate satisfactorily the 'lost decade' of the 1980s in Argentina.
w13540|This paper reexamines some of the themes of the incomplete contracts literature  in particular, the hold-up problem and asset ownership  through a new theoretical lens, the idea that contracts serve as reference points (see Hart and Moore (2008)). We consider a buyer and seller who are involved in a (long-term) economic relationship where the buyer's value and seller's cost are initially uncertain. For the relationship to work out the parties need to cooperate in ways that cannot be specified in an initial contract. The buyer and seller face the following trade-off. On the one hand they can write a flexible contract that attempts to index the terms of trade  price  to the state of the world. However, to the extent that value and cost are not objective, such a contract will lead to argument, aggrievement and shading; this in turn creates deadweight losses.
w5674|Twenty-nine percent of threatened birds worldwide and more than half the threatened mammals in Australasia and the Americas are subject to over-harvesting fiGoombridge, 1992]. Most models of open-access resources assume that the good is non-storable fiClark, 1976; Gordon, 1954; Schaefer, 1957]. While this may be a reasonable assumption for fish, it is inappropriate for many other species threatened by over-harvesting, as illustrated in Table I. Although 30% of threatened mammals are hunted for presumably non-storable meat, 20% are hunted for fur or hides, which are presumably storable, and approximately 10% are threatened by the live trade fiGoombridge, 1992]. African elephants are a prime example of a resource which is technologically difficult to protect as private property, and is used to produce a storable good. From 1981 to 1989, Africa's elephant population fell from approximately 1.2 million to just over 600,000 fiBarbier, et al., 1990].
